name,lifetime_lower,lifetime_upper,weibull_shape,weibull_scale,installation_time,operation_effort,fuel_cost,emissions,price,factor_area,installation_effort,factor_opex,factor_energy,factor_oppendorf,price_index,sidecosts_index,heat_load_price,heat_load_factor,heat_load_correction,age_min,age_max,age_mean,age_sd,availability,power,contract,heat_delivery,en_price_reduction
Heating_system_oil,936,1144,2,1144,1,10,0.1324,310,1202.6,-0.536,24,0.035,"[1.67,1.43,1.34,1.29,1.27]",1.004,1.613,1.15,3304.8,-0.673,1,1980,2015,1995,13.4,10000,None,0,0,0
Heating_system_gas,936,1144,2,1144,1,10,0.1073,240,905.26,-0.518,30,0.03,"[1.67,1.43,1.34,1.29,1.27]",1.004,1.613,1.15,3304.8,-0.673,1,1980,2023,2007,10.7,10000,None,0,0,0
Heating_system_heat_pump,936,1352,2,1352,1,5,0.1246,560,2314,-0.58,20,0.025,"[0.32,0.33,0.34,0.48,0.67]",1.004,1.613,1.15,3891.5,-0.475,1,2002,2021,2011,13.4,10000,None,0,0,0
Heating_system_electricity,936,1144,2,1144,2,5,0.41,560,1008.7,-0.453,80,0.015,"[1,1,1,1,1]",1.004,1.613,1.15,1,1,1,1980,2023,1994,22.1,10000,None,0,0,0
Heating_system_pellet,780,1248,2,1248,2,15,0.0939,20,2531.4,-0.587,48,0.06,"[2.09,1.75,1.62,1.55,1.51]",1.004,1.613,1.15,4319.1,-0.624,1,1980,2023,2007,11,10000,None,0,0,0
Heating_system_network_district,780,1352,2,1352,2,0,0.1047,180,662.91,-0.487,16,0.03,"[1,1,1,1,1]",1.004,1.613,1.15,1,1,1,0,0,0,0,10000,None,0,0,0
Heating_system_network_local,780,1352,2,1352,2,0,0.12,210.7,662.91,-0.487,16,0.03,"[1,1,1,1,1]",1.004,1.613,1.15,1,1,0.57,0,0,0,0,10000,None,0,0,0
Heating_system_heat_pump_brine,936,1352,2,1352,1,5,0.0934,256.1,2314,-0.58,20,0.025,"[0.25,0.26,0.26,0.29,0.33]",1.004,1.613,1.15,3891.5,-0.475,0.32,0,0,0,0,10000,None,0,0,0
Heating_system_GP_Joule,780,1352,2,1352,2,0,0.12,346.5,662.91,-0.487,16,0.03,"[1,1,1,1,1]",1.004,1.613,1.15,1,1,0.43,0,0,0,0,10000,None,0,0,0
Heating_system_vacuum_tube,1000,1080,2,1080,2,5,0.05,180,1008.7,-0.453,80,0.015,"[1,1,1,1,1]",1.004,1.613,1.15,1,1,1,0,0,0,0,10000,None,0,0,0
